Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Худобʼяк,Марина,Бориславівна,female,2003.6.7,Ходить в університет,парк Набережн,"парк Набережна, буд. 7, Білозерське, 02366",380888368242,zdanylchuk@example.com
Фартушняк,Герман,Омелянович,male,2000.7.25,Вчитель,набережна Мазарат,"набережна Мазараті, буд. 279, Дергачі, 59012",380509652897,irenafurs@example.org
Чумак,Владислав,Вікторович,male,1980.5.16,Географ,проспект Савранськ,"проспект Савранська, буд. 838 кв. 644, Білогірськ, 93776",380647544801,hdurdynets@example.com
Філіпенко,Наталія,Максимівна,female,2006.5.8,Ходить в університет,набережна Бориса Літвак,"набережна Бориса Літвака, буд. 32, Південне , 25817",380829108307,danna08@example.org
Дейнеко,Теодор,Богданович,male,1985.1.1,Науковець,площа Суднобудівни,"площа Суднобудівний, буд. 80, Золоте, 40539",380721182619,arkadiiartym@example.org
Гречко,Надія,Болеславівна,female,2007.10.22,Ходить до школи,сквер Задніпровськог,"сквер Задніпровського, буд. 310 кв. 26, Татарбунари, 09746",380610327314,barannykarkadii@example.org
Яценюк,Опанас,Семенович,male,1979.1.6,Промисловець,узвіз Чумацьк,"узвіз Чумацька, буд. 546 кв. 212, Носівка, 77727",380513377435,chmilviktor@example.net
Сірченко,Олександр,Макарович,male,1984.2.2,Краєзнавець,набережна Семінарськ,"набережна Семінарська, буд. 41 кв. 89, Скалат, 88706",380915998846,nazar31@example.net
Гаврилів,Тетяна,Петрівна,female,1941.8.7,Геолог,проспект Штурвальн,"проспект Штурвальна, буд. 04 кв. 963, Ворожба, 83034",380594464977,vlasenkoopanas@example.com
Петренко,Венедикт,Захарович,male,1942.3.16,Інженер,проспект Кутузов,"проспект Кутузова, буд. 7 кв. 96, Хрустальний, 42254",380564676804,makar94@example.org
Бараник,Оксана,Ростиславівна,female,1972.1.20,Гицель,набережна Бокаріуса Микол,"набережна Бокаріуса Миколи, буд. 66, Носівка, 40756",380914254183,olenatsymbal@example.net
Дзюба,Теодор,Яремович,male,1965.6.5,Модельєр,шосе Композитора Глинк,"шосе Композитора Глинки, буд. 44, Ковель, 92416",380654029452,iarema11@example.org
Цибуленко,Артем,Микитович,male,1970.2.17,Зоолог,площа Лїнія 1-ш,"площа Лїнія 1-ша, буд. 1, Вашківці, 75236",380709918067,svitlanafomenko@example.org
Малишко,Данна,Андріївна,female,1999.10.10,Менеджер,вулиця Овідіопольськ,"вулиця Овідіопольська, буд. 002, Ямпіль, 85814",380630834924,gdzyndra@example.net
Вертипорох,Теодор,Опанасович,male,1985.3.4,Фрілансер,шосе Прорізни,"шосе Прорізний, буд. 345 кв. 1, Хоростків, 77851",380867787283,trokhymvysochan@example.org
Копитко,Алла,Олександрівна,female,2007.3.11,Ходить до школи,вулиця Гаршин,"вулиця Гаршина, буд. 82 кв. 717, Алупка, 94870",380687881128,davyd91@example.com
Артим,Руслан,Венедиктович,male,1945.6.8,Мікробіолог,сквер Шевченка пар,"сквер Шевченка парк, буд. 08 кв. 5, Світловодськ, 64878",380855305669,charnyshprokhir@example.org
Михалюк,Панас,Пантелеймонович,male,1984.9.3,Кушнір,площа Дунаєвського 1-,"площа Дунаєвського 1-й, буд. 59 кв. 34, Верхньодніпровськ, 67979",380672860141,jdankevych@example.com
Непорожній,Світлана,Назарівна,female,2001.9.1,Фізик,парк Моторн,"парк Моторна, буд. 1, Перемишляни, 26179",380695128350,mykhailynadanyliuk@example.org
Рябошапка,Данило,Єфремович,male,1943.7.10,Модель,шосе Кощового отаман,"шосе Кощового отамана, буд. 110 кв. 11, Дунаївці, 26845",380942735604,khrystycheduard@example.net
Харченко,Вікторія,Трохимівна,female,1995.11.1,Петрограф,шосе Куликовський 2-,"шосе Куликовський 2-й, буд. 6 кв. 23, Копичинці, 51849",380601207685,zinchenkookseniia@example.org
Балабан,Василь,Андрійович,male,1976.3.19,Хімік,парк Кар’єрн,"парк Кар’єрна, буд. 696 кв. 298, Авдіївка, 40551",380570286454,edeineka@example.net
Авдєєнко,Борислав,Дмитрович,male,1980.2.2,Кур'єр,сквер Дальн,"сквер Дальня, буд. 28 кв. 383, Іллінці, 43665",380611817004,omelian47@example.net
Онищенко,Ольга,Йосипівна,female,2007.8.28,Ходить на підробіток та дошколи,провулок Степана Разін,"провулок Степана Разіна, буд. 58, Павлоград, 41346",380795649640,fmishchenko@example.org
Шутько,Варфоломій,Пантелеймонович,male,1986.3.26,Клоун,сквер Стражеска Микол,"сквер Стражеска Миколи, буд. 138 кв. 1, Білгород-Дністровський, 31525",380791436419,haidaburaaaron@example.org
Полтавець,Тетяна,Геннадіївна,female,1965.7.10,Економіст,узвіз Пушкінськ,"узвіз Пушкінська, буд. 222 кв. 34, Новогродівка, 54762",380896312769,martyn90@example.org
Скоробогатько,Дмитро,Дмитрович,male,2000.2.13,Конструктор,парк Красносільськ,"парк Красносільська, буд. 39 кв. 4, Нововолинськ, 95849",380880465720,hannapetrenko@example.org
Бабиченко,Миколай,Сергійович,male,1971.10.18,Адвокат,набережна Шишкін,"набережна Шишкіна, буд. 6 кв. 08, Кобеляки, 66520",380855723353,dubenkoustym@example.com
Чала,Богуслава,Іллівна,female,1970.12.28,Етнограф,проспект Академіка Ясиновськог,"проспект Академіка Ясиновського, буд. 47 кв. 1, Молочанськ, 87363",380726224106,ivan69@example.org
Зінченко,Тимофій,Гаврилович,male,1986.9.12,Адвокат,провулок Олександра Невського 5-,"провулок Олександра Невського 5-й, буд. 37 кв. 41, Новий Калинів, 81820",380895533719,lytvynbohdan@example.com
Товстоліс,Амалія,Богодарівна,female,1979.1.16,Стиліст,парк Уральськи,"парк Уральський, буд. 32, Першотравенськ, 48885",380622433191,myron77@example.com
Парасюк,Леонтій,Петрович,male,2005.1.2,Кухар,сквер Шахтинськи,"сквер Шахтинський, буд. 743 кв. 047, Болград, 75522",380603047802,ovcharenkorozaliia@example.com
Сиротенко,Адам,Геннадійович,male,2001.11.18,Електромонтер,площа Офіцерськ,"площа Офіцерська, буд. 87 кв. 1, Сторожинець, 74849",380938146907,avrelii73@example.org
Бабко,Роксолана,Сергіївна,female,1959.1.2,Фольклорист,вулиця Текстильникі,"вулиця Текстильників, буд. 75, Гадяч, 76932",380686558562,zaichenkovenedykt@example.com
Свириденко,Семен,Максимович,male,1979.11.17,Петрограф,площа Добровольськог,"площа Добровольського, буд. 446, Дніпро , 76652",380933902805,arsen53@example.net
Верхола,Варвара,Арсенівна,female,1986.3.27,Публіцист,узвіз Данила Крижанівськог,"узвіз Данила Крижанівського, буд. 2 кв. 0, Золочів, 89659",380809832849,zorianmazur@example.com
Годунок,Андрій,Павлович,male,1992.8.8,Співак,узвіз Рівност,"узвіз Рівності, буд. 5 кв. 992, Мирноград, 11572",380586127589,okseniiakhomenko@example.net
Доценко,Леонтій,Романович,male,1987.5.28,Медик,сквер Єнісейськ,"сквер Єнісейська, буд. 4 кв. 74, Ямпіль, 37350",380800855035,leonidmasokha@example.com
Атаманчук,Ірина,Захарівна,female,1982.7.15,Нотаріус,сквер Наявний 2-,"сквер Наявний 2-й, буд. 72, Армянськ, 67735",380853074710,talananastasiia@example.org
Габелко,Устим,Васильович,male,1952.3.26,Стоматолог,парк Басейний 2-,"парк Басейний 2-й, буд. 49 кв. 6, Берегове, 81060",380884206665,uumanets@example.org
Адаменко,Дарина,Юхимівна,female,1972.9.12,Державний службовець,сквер Мазарат,"сквер Мазараті, буд. 16, Богодухів, 76208",380739345791,shvaikaalbert@example.net
Рева,Пармен,Теодорович,male,1997.9.23,Каскадер,парк Ланжеро,"парк Ланжерон, буд. 45, Галич, 49134",380666471900,parasiukarkadii@example.net
Тимчук,Ярема,Назарович,male,1958.9.15,Вчитель,площа Валіховськи,"площа Валіховський, буд. 7 кв. 4, Красилів, 22879",380607222733,iakiv53@example.com
Шеремет,Віра,Опанасівна,female,1978.11.28,Електротехнік,площа Любашівськи,"площа Любашівський, буд. 50 кв. 71, Гуляйполе, 98986",380703891214,vrudyk@example.net
Редько,Болеслав,Зиновійович,male,1946.8.10,Електрик,площа Литовськ,"площа Литовська, буд. 31, Перевальськ, 55956",380913400898,fpetrenko@example.com
Бабиченко,Світлана,Мартинівна,female,1943.4.17,Дипломат,набережна Новоселі,"набережна Новоселів, буд. 61 кв. 74, Березань , 72556",380959916783,levko54@example.com
Романчук,Веніямин,Орхипович,male,1952.3.27,Письменник,сквер Гімназичн,"сквер Гімназична, буд. 91, Ічня, 49746",380823957683,ochornovil@example.org
Дуплій,Борислав,Богданович,male,1969.10.7,Графік,парк Пересипська 2-г,"парк Пересипська 2-га, буд. 553 кв. 6, Луганськ, 52257",380719393438,ustymadamenko@example.com
Івасюк,Олена,Едуардівна,female,2000.12.18,Реабілітолог,сквер 17-та Лінія 6-й ст. Люстдорфської дорог,"сквер 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 997 кв. 647, Олешки, 12764",380807086158,hchalenko@example.net
Авраменко,Макар,Веніяминович,male,1995.12.19,Електромонтажник,площа Нежданово,"площа Нежданової, буд. 41, Сміла, 01352",380734501160,kdrozdenko@example.com
Іваничук,Христина,Едуардівна,female,1993.3.3,Каскадер,вулиця Китобійн,"вулиця Китобійна, буд. 80 кв. 670, Шаргород, 41729",380926383876,ziakymenko@example.org
Цюцюра,Демид,Леонтійович,male,1961.3.4,Модель,узвіз Віри Фігне,"узвіз Віри Фігнер, буд. 1 кв. 547, Докучаєвськ, 13302",380918190409,nazarieremenko@example.net
Тимченко,Демид,Зиновійович,male,1998.1.21,Музичний редактор,набережна Свобод,"набережна Свободи, буд. 9 кв. 949, Тетіїв, 83256",380682466265,roksolanastus@example.com
Лисенко,Ярослава,Охрімівна,female,1943.12.28,Штукатур,провулок Урожайн,"провулок Урожайна, буд. 40 кв. 812, Щастя , 83397",380508160952,wchernenko@example.com
Корбут,Вʼячеслав,Григорійович,male,1948.3.1,Кушнір,площа Іванівський переїз,"площа Іванівський переїзд, буд. 00 кв. 720, Лохвиця, 61697",380972611520,lukian64@example.org
Гайда,Валентина,Євгенівна,female,1997.9.26,Музичний редактор,сквер Толбухін,"сквер Толбухіна, буд. 312, Новомосковськ, 12162",380746034419,govcharenko@example.org
Бабій,Микита,Зиновійович,male,2005.8.28,Клавішник,вулиця Нафтовиків 1-,"вулиця Нафтовиків 1-й, буд. 99 кв. 4, Дубровиця, 36147",380610076523,geretahanna@example.org
Притула,Устим,Демʼянович,male,1954.4.23,Лікар,узвіз Різовськ,"узвіз Різовська, буд. 848, Зміїв, 26925",380913179843,kolesnychenkosviatoslav@example.org
Карпенко,Аніта,Андріївна,female,1984.11.20,Няня,провулок Якутськ,"провулок Якутська, буд. 56 кв. 4, Мерефа, 08145",380703777830,omelian59@example.com
Бандура,Стефан,Соломонович,male,1970.5.18,Кухар,парк Героїв Кру,"парк Героїв Крут, буд. 73, Волочиськ, 53138",380783893670,iaremchukvitalii@example.org
Петлюра,Ірена,Русланівна,female,1964.9.17,Математик,сквер Святослава Ріхтер,"сквер Святослава Ріхтера, буд. 8, Гуляйполе, 74296",380738649695,mhohol-ianovskyi@example.org
Байрак,Левко,Хомович,male,1954.11.7,Акушер,узвіз Виставочн,"узвіз Виставочна, буд. 28 кв. 7, Баранівка, 40424",380980090451,ievabaranets@example.com
Олійник,Ігнат,Пилипович,male,2006.12.26,Ходить на підробіток та дошколи,проспект Леваневськог,"проспект Леваневського, буд. 015, Березань , 51593",380858902709,anton02@example.com
Кириленко,Клавдія,Аврелійовна,female,1967.4.27,Електротехнік,провулок Кругов,"провулок Кругова, буд. 16 кв. 50, Рівне, 97356",380767709736,rozaliia54@example.com
Гайденко,Костянтин,Яремович,male,1993.8.14,Ґрунтознавець,площа Лесі Українк,"площа Лесі Українки, буд. 9 кв. 686, Алушта, 03710",380719108409,bkanivets@example.org
Шведченко,Ярина,Ярославівна,female,1998.7.25,Фермер,проспект Іспанськ,"проспект Іспанська, буд. 95 кв. 6, Трускавець, 04158",380504063123,ivaniaremkiv@example.net
Гаврилів,Леон,Костянтинович,male,1954.7.27,Дизайнер,вулиця 1-й Академічний тупи,"вулиця 1-й Академічний тупик, буд. 5 кв. 07, Устилуг, 77201",380928391090,vartiushenko@example.com
Власенко,Пантелеймон,Олексович,male,1996.9.4,Археолог,провулок Партизанської Слав,"провулок Партизанської Слави, буд. 219, Корець, 17923",380515403601,oiashchenko@example.org
Данчук,Данна,Ігнатівна,female,1940.12.12,Пекар,сквер Савицьки,"сквер Савицький, буд. 3, Токмак, 19985",380897519013,osalii@example.org
Засуха,Панас,Омелянович,male,2005.9.7,Ходить в університет,сквер Олександра Невського 2-,"сквер Олександра Невського 2-й, буд. 7, Чоп, 30908",380871306117,pushkarliza@example.net
Рябець,Олена,Германівна,female,1962.1.13,Підприємець,провулок Юрія Яновськог,"провулок Юрія Яновського, буд. 07 кв. 0, Кілія, 96976",380528938833,amaliia17@example.com
Архипенко,Аарон,Пилипович,male,2001.3.29,Кінорежисер,площа Вапнян,"площа Вапняна, буд. 93 кв. 3, Мар'їнка, 55796",380622971962,abramchukrozaliia@example.net
Михайлюк,Назар,Геннадійович,male,1985.4.6,Ді-джей,узвіз Виноградний тупи,"узвіз Виноградний тупик, буд. 8 кв. 573, Ізяслав, 93358",380950159409,iaroslava41@example.com
Вернидуб,Камілла,Юстимівна,female,1991.1.8,Палеонтолог,провулок Васнецов,"провулок Васнецова, буд. 4, Суходільськ, 06601",380990738982,rzatula@example.net
Штепа,Арсен,Богуславович,male,1946.5.22,Конструктор,провулок Кишинівськ,"провулок Кишинівська, буд. 1, Сторожинець, 66806",380866785942,kyrylo82@example.com
Москаль,Богданна,Соломонівна,female,1981.9.7,Хімік,парк Моторний 2-,"парк Моторний 2-й, буд. 55 кв. 7, Тернопіль, 56086",380868481063,sviatoslav40@example.net
Забарний,Охрім,Ааронович,male,1951.4.5,Водій,парк Перш,"парк Перша, буд. 2, Балта, 80658",380743232723,anton45@example.net
Лукаш,Леонід,Аркадійович,male,1972.10.30,Кухар,парк Пугачов,"парк Пугачова, буд. 65 кв. 087, Інкерман, 21326",380883779249,hdziuba@example.org
Данчук,Едита,Демʼянівна,female,2001.7.14,Будник,площа Коцебу міс,"площа Коцебу міст, буд. 2, Житомир, 05329",380639646723,mdanylenko@example.com
Оліфіренко,Богуслав,Іванович,male,1990.1.20,Музичний редактор,шосе Наявний 1-,"шосе Наявний 1-й, буд. 6, Чистякове, 43066",380712372960,andriienkooleksa@example.org
Лисенко,Людмила,Трохимівна,female,1949.5.10,Ветеринар,узвіз Весел,"узвіз Весела, буд. 04, Бахмач, 61104",380590896876,shelestnestor@example.com
Кабалюк,Герман,Васильович,male,1947.8.18,Фольклорист,проспект Поштов,"проспект Поштова, буд. 4 кв. 44, Щастя , 20008",380813720752,semenchenkoiaroslav@example.com
Піддубний,Леон,Панасович,male,1949.2.16,Письменник,вулиця Керченський 2-,"вулиця Керченський 2-й, буд. 18, Ананьїв, 41204",380680244921,khorishkotetiana@example.com
Тичина,Емілія,Богданівна,female,1971.6.10,Кур'єр,вулиця Сирітськи,"вулиця Сирітський, буд. 2 кв. 1, Снігурівка, 84356",380766218160,terezatiahnybok@example.com
Макогон,Альберт,Яковович,male,1967.1.13,Астроном,узвіз Студентський 2-,"узвіз Студентський 2-й, буд. 1 кв. 155, Судак , 79472",380596806904,zabilabohdan@example.org
Байда,Марʼяна,Богданівна,female,2002.3.7,Сценарист,сквер Марата 1-,"сквер Марата 1-й, буд. 683, Верхньодніпровськ, 52936",380629881087,demydenkooleksa@example.net
Сомко,Макар,Яремович,male,1968.12.13,Програміст,набережна Миколи Бажан,"набережна Миколи Бажана, буд. 056 кв. 16, Хуст, 34688",380591317797,orkhyp22@example.net
Засуха,Левко,Бориславович,male,1956.6.28,Художник,проспект Вєтров,"проспект Вєтрова, буд. 86 кв. 7, Покров, 16246",380997299414,liliia22@example.com
Даниленко,Любов,Ігнатівна,female,2007.6.2,Ходить до школи,узвіз Стамбульськи,"узвіз Стамбульський, буд. 483, Павлоград, 25440",380915468643,anitashylo@example.com
Саченко,Ілля,Орхипович,male,1961.3.24,Електротехнік,провулок 7-ма Лінія 6-й ст. Люстдорфської дорог,"провулок 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 462 кв. 8, Ромни, 79820",380554267930,fomenkokyrylo@example.org
Супруненко,Варвара,Яремівна,female,1989.1.25,Фольклорист,набережна Сурикова 2-,"набережна Сурикова 2-й, буд. 5, Сокаль, 15155",380608132299,banderamykolai@example.org
Парасюк,Ярослав,Григорійович,male,1953.12.5,Музикознавець,проспект Ямськ,"проспект Ямська, буд. 993 кв. 4, Турка, 23237",380652461339,bezborodkoborys@example.com
Єсипенко,Мирослав,Веніяминович,male,2000.11.8,Різноробочий,набережна Колекційн,"набережна Колекційна, буд. 09, Рубіжне, 06438",380645205405,leontiikovaliuk@example.com
Забарна,Одарка,Аркадіївна,female,1990.12.7,Актор,провулок Князівськи,"провулок Князівський, буд. 587, Біла Церква, 68881",380879625016,eilchenko@example.com
Товстоліс,Франц,Романович,male,1958.3.8,Мікробіолог,шосе Селищни,"шосе Селищний, буд. 912, Долинська, 91702",380584277679,bohuslavahavrylets@example.net
Удовенко,Тетяна,Едуардівна,female,1968.12.28,Журналіст,сквер Офіцерськ,"сквер Офіцерська, буд. 472, Міусинськ, 50815",380500489813,liliia60@example.net
Жаліло,Роман,Юхимович,male,1966.2.17,Етнограф,набережна Прокатн,"набережна Прокатна, буд. 979 кв. 9, Суми, 03308",380632418326,rdankiv@example.com
Шутько,Едуард,Федорович,male,1993.12.2,Мірошник,вулиця Привокзальн,"вулиця Привокзальна, буд. 066, Звенигородка, 66604",380807019452,ievhen14@example.org
Самойленко,Мілена,Єлисеївна,female,2005.10.17,Круп'є,проспект Миколи Вороног,"проспект Миколи Вороного, буд. 3, Калинівка , 48071",380962392669,larysasvyrydenko@example.net
Ляшко,Соломон,Несторович,male,1959.11.27,Конструктор,провулок Композитора Ніщинськог,"провулок Композитора Ніщинського, буд. 6 кв. 079, Ужгород, 78579",380926699362,ulupii@example.net
Чубай,Одарка,Глібівна,female,1968.2.11,Слідчий,проспект Фонтанська дорог,"проспект Фонтанська дорога, буд. 56, Сніжне, 58500",380568042487,avramchukmariia@example.net
Давиденко,Олекса,Макарович,male,2007.7.19,Ходить на підробіток та дошколи,парк Локомотивний 1-,"парк Локомотивний 1-й, буд. 00, Зоринськ, 41306",380763738259,gzaporozhets@example.org
Дараган,Аркадій,Валентинович,male,1998.7.23,Кінорежисер,вулиця Соляний 4-,"вулиця Соляний 4-й, буд. 963 кв. 81, Костопіль, 13834",380731907454,varfolomiibabiichuk@example.com
Хомик,Орися,Устимівна,female,1975.6.26,Секретар,площа Лізи Чайкіно,"площа Лізи Чайкіної, буд. 66, Покров, 76280",380616744844,andrii48@example.com
Ільєнко,Лукʼян,Демʼянович,male,1950.2.26,Біолог,набережна Академіка Вільямс,"набережна Академіка Вільямса, буд. 75, Гадяч, 40066",380893079767,ielysei44@example.org
Рева,Аліна,Едуардівна,female,1947.4.3,Кінолог,вулиця Рекордни,"вулиця Рекордний, буд. 62, Алчевськ, 19539",380842218947,vdovenkotetiana@example.org
Масляк,Георгій,Богданович,male,1996.6.29,Гицель,вулиця Прохоровськи,"вулиця Прохоровський, буд. 7 кв. 1, Верхньодніпровськ, 65981",380545712323,volodymyrirvanets@example.com
Романець,Пармен,Ростиславович,male,1966.3.8,Круп'є,шосе Депутатськи,"шосе Депутатський, буд. 47 кв. 8, Бобровиця, 76975",380554802110,haidasymon@example.org
Дейнеко,Анжела,Едуардівна,female,1955.5.30,Психолог,узвіз Успенськи,"узвіз Успенський, буд. 9, Звенигородка, 43280",380598952322,qhaievska@example.net
Єрченко,Борис,Бориславович,male,1983.11.28,Композитор,провулок Пугачов,"провулок Пугачова, буд. 814, Пустомити, 24153",380501723306,nadamenko@example.com
Микитюк,Святослава,Лесівна,female,1983.8.3,Бухгалтер,сквер Ананьївськ,"сквер Ананьївська, буд. 880 кв. 00, Гірник , 82348",380691184725,rubanhalyna@example.com
Дутка,Данило,Геннадійович,male,1968.7.18,Професор,шосе Москет,"шосе Москеті, буд. 0, Васильків, 39292",380948992191,ilienkovira@example.net
Таран,Панас,Яремович,male,1957.12.28,Паралегал,шосе Ялинков,"шосе Ялинкова, буд. 118, Золотоноша, 61630",380543332748,levko24@example.com
Власенко,Маруся,Георгіївна,female,1962.8.21,Будник,площа Макови,"площа Маковий, буд. 5 кв. 190, Сніжне, 07460",380859417257,parmen47@example.net
Михайличенко,Пармен,Вадимович,male,1947.12.22,Електрослюсар,парк Амбулаторний 1-,"парк Амбулаторний 1-й, буд. 50 кв. 7, Новоазовськ, 62736",380988769389,amvrosiikarpenko@example.net
Олійник,Юстина,Геннадіївна,female,1979.2.25,Кінорежисер,набережна Лютеранськи,"набережна Лютеранський, буд. 83 кв. 853, Бережани, 17339",380582846524,ielyseiievtushok@example.net
Деркач,Борислав,Андрійович,male,1961.11.13,Секретар,провулок Кондрашин,"провулок Кондрашина, буд. 9, Барвінкове, 93959",380719059590,wdziuba@example.net
Матвієнко,Степан,Пилипович,male,1964.5.22,Фармацевт,сквер Овідіопольська дуг,"сквер Овідіопольська дуга, буд. 49 кв. 8, Глиняни, 71559",380886888143,zynovii10@example.org
Щорс,Едита,Богданівна,female,1957.3.8,Гінеколог,вулиця 40-річчя оборони Одес,"вулиця 40-річчя оборони Одеси, буд. 1 кв. 069, Бахмут, 17294",380659467540,viktoriiazinchenko@example.com
Охріменко,Лесь,Васильович,male,1996.9.27,Дипломат,узвіз Таїров,"узвіз Таїрова, буд. 40 кв. 70, Новоазовськ, 67744",380703073423,symon91@example.com
Єременко,Златослава,Святославівна,female,1950.12.23,Провізор,шосе 40-річчя оборони Одес,"шосе 40-річчя оборони Одеси, буд. 3, Новодністровськ, 77884",380598134691,ielyseimatviienko@example.net
Дутка,Святослав,Євгенійович,male,1990.10.14,Льотчик,вулиця Чорноморського козацтв,"вулиця Чорноморського козацтва, буд. 704, Севастополь, 84656",380696361937,pavlychenkotaras@example.org
Цибуленко,Альберт,Петрович,male,1965.12.16,Епідеміолог,парк Лінія 53-т,"парк Лінія 53-тя, буд. 00, Кремінна, 58357",380537366348,udziuba@example.com
Чуйко,Дарина,Аркадіївна,female,2002.5.20,М'ясник,площа Гена Іоганн,"площа Гена Іоганна, буд. 617 кв. 581, Апостолове, 13178",380836093766,andriievychiaroslav@example.net
Лагода,Вадим,Микитович,male,1961.12.13,Геофізик,провулок Гладков,"провулок Гладкова, буд. 751 кв. 7, Семенівка, 63623",380773049235,shovkopliasliza@example.net
Сімашкевич,Михайлина,Бориславівна,female,1962.10.26,Філолог,проспект Мелітопольськ,"проспект Мелітопольська, буд. 9 кв. 0, Тальне, 34896",380559590718,khoma58@example.org
Супруненко,Єлисей,Демидович,male,2002.9.6,Дипломат,узвіз Підйомни,"узвіз Підйомний, буд. 66, Новоселиця, 56121",380951524503,isaievychhavrylo@example.net
Чміль,Пилип,Євгенійович,male,1991.6.5,Реабілітолог,сквер Соляний 4-,"сквер Соляний 4-й, буд. 7, Тульчин, 46016",380700681008,oleksandrtovstukha@example.net
Прокопович,Ірина,Феофанівна,female,1975.3.23,Журналіст,сквер Володі Дубінін,"сквер Володі Дубініна, буд. 29 кв. 226, Мар'їнка, 70443",380734712796,whuk@example.net
Якименко,Леон,Опанасович,male,1951.6.29,Актор,провулок Просьолочн,"провулок Просьолочна, буд. 720 кв. 7, Підгородне, 74099",380990026957,mykhaliukielysei@example.org
Жайворон,Тетяна,Глібівна,female,1952.6.23,Епідеміолог,узвіз Жевахов,"узвіз Жевахова, буд. 6 кв. 34, Мар'їнка, 24086",380682051782,ihnat15@example.net
Шморгун,Яків,Климентович,male,2002.11.26,Ходить в університет,площа Георгія Гамов,"площа Георгія Гамова, буд. 34 кв. 6, Гайворон, 61884",380753412666,orestabrahamovskyi@example.com
Єсипенко,Віктор,Валерійович,male,1991.1.3,Бібліотекар,проспект Курортни,"проспект Курортний, буд. 872 кв. 85, Хрустальний, 20416",380635038525,artymstefan@example.com
Павличенко,Наталія,Павлівна,female,1961.3.20,Акушер,шосе Васнецов,"шосе Васнецова, буд. 55 кв. 87, Білицьке, 14102",380721868362,karpabohuslav@example.org
Салій,Олег,Мирославович,male,2003.4.19,Ходить в університет,вулиця Східний 1-,"вулиця Східний 1-й, буд. 41 кв. 54, Кальміуське, 32764",380802627151,umishchenko@example.org
Христенко,Одарка,Ігнатівна,female,1961.4.1,Флорист,площа Чорноморк,"площа Чорноморка, буд. 76 кв. 70, Ківерці, 07198",380803364706,vasylenkoles@example.net
Лисенко,Єлисей,Зорянович,male,1974.2.25,Графік,шосе Церковн,"шосе Церковна, буд. 73 кв. 4, Красноперекопськ, 67691",380764224650,sbandurka@example.com
Онуфрієнко,Ігнат,Зорянович,male,2005.12.17,Паблік рилейшнз,парк Сумськ,"парк Сумська, буд. 949 кв. 01, Копичинці, 70519",380875096981,azar01@example.org
Дейнеко,Ліза,Яремівна,female,2005.11.5,Електрослюсар,вулиця Цементни,"вулиця Цементний, буд. 181 кв. 0, Хотин, 02259",380512298295,iryna68@example.org
Ляшко,Костянтин,Леонідович,male,1967.10.29,Няня,проспект Миколаївська дорог,"проспект Миколаївська дорога, буд. 18 кв. 393, Білгород-Дністровський, 73866",380995778058,andriizaporozhets@example.org
Мамчур,Святослава,Остапівна,female,1948.6.16,Каскадер,сквер П'ят,"сквер П'ята, буд. 88 кв. 040, Кобеляки, 24145",380839260393,ielysei18@example.com
Чорновіл,Соломон,Макарович,male,1956.9.29,Мікробіолог,площа Свобод,"площа Свободи, буд. 795, Чорнобиль, 60676",380897893280,alevtynchala@example.net
Артимишин,Дан,Ігорович,male,1985.1.21,Біолог,парк Деревообробний 2-,"парк Деревообробний 2-й, буд. 980, Євпаторія, 49395",380862037144,fomenkoandrii@example.org
Вовк,Амалія,Бориславівна,female,1975.6.19,Льотчик,узвіз Ширшов,"узвіз Ширшова, буд. 10, Кремінна, 13558",380779702526,solomiia67@example.com
Безбородько,Олег,Юстимович,male,2002.12.14,Ходить в університет,проспект Старосінн,"проспект Старосінна, буд. 0, Вугледар, 38659",380921670913,iaryna47@example.com
Демʼяненко,Аніта,Данилівна,female,1999.5.28,Науковець,провулок Більшовицьки,"провулок Більшовицький, буд. 841, Балаклія, 59645",380697425940,nkomar@example.net
Заїка,Гаврило,Макарович,male,1976.9.19,Парфюмер,провулок Лізи Чайкіно,"провулок Лізи Чайкіної, буд. 075, Вінниця, 07471",380680771262,mykhailiukorysia@example.com
Бабич,Стефан,Трохимович,male,1955.2.20,Стоматолог,вулиця Шевченк,"вулиця Шевченка, буд. 6 кв. 2, Черкаси, 27197",380520534185,ltsiupa@example.com
Дацюк,Єва,Єлисеївна,female,1964.1.15,Вчитель,узвіз Слєпньов,"узвіз Слєпньова, буд. 2, Березівка, 05741",380747597304,cmykhailiuk@example.org
Атрощенко,Феофан,Гордійович,male,1992.10.26,Дерун,набережна Заводська 4-т,"набережна Заводська 4-та, буд. 76, Остер , 49595",380669227369,iukhymvysochan@example.net
Шеремет,Володимира,Богуславівна,female,1965.4.17,Ювелір,сквер 4-та Лінія 6-й ст. Люстдорфської дорог,"сквер 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 536, Херсон, 37892",380961895399,oleksandrkaras@example.net
Шинкаренко,Володимир,Сергійович,male,1999.2.27,Біолог,шосе Петра Лещенк,"шосе Петра Лещенка, буд. 7, Охтирка, 55784",380631100803,ohuzii@example.com
Вдовенко,Станіслав,Мирославович,male,1963.12.12,Публіцист,шосе Бехтерєв,"шосе Бехтерєва, буд. 29, Сніжне, 19788",380600771408,korsunmyron@example.net
